127.0.0.1 - - [13/Jun/2022:15:25:19 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:25:22 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:25:22 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:26:07 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:35:24 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:36:07 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:37:21 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:38:42 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:40:24 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [13/Jun/2022:15:52:28 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:11:43 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:11:45 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:13:56 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:15:49 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:15:51 -0300] "GET /NavegacaoWeb/index.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:18:54 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:19:12 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:20:39 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:21:10 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:25:49 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:27:17 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:27:46 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:27:55 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:30:07 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:30:11 -0300] "GET /NavegacaoWeb/noticia.html?email=danielasuttoffds%40gmail.com&senha=ddd HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:30:33 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2022:16:30:37 -0300] "POST /NavegacaoWeb/noticia.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [13/Jun/2022:17:08:10 -0300] "GET /NavegacaoWeb/noticia.html HTTP/1.1" 200 596
